yyyy,mm,tmax,tmin,af,rain
1891,9,18.3,10.4,0,58.5
1891,10,12.8,6.1,0,102.6
1891,11,8.1,3.1,6,71.3
1891,12,7.1,1,9,161.4
1892,1,4.3,0.1,15,63.1
1892,2,5.4,0.4,12,89.8
1892,3,5.7,-0.7,20,33.7
1892,4,12,2.4,7,24
1892,5,15.2,6.8,0,102.4
1892,6,17.1,8.8,0,104
1892,7,16.8,9.8,0,80.2
1892,8,19.1,11.1,0,69.1
1892,9,15.8,8.7,0,88.6
1892,10,10.3,4.1,2,143.7
1892,11,9,3.9,4,44.2
1892,12,4.8,-0.3,16,22.8
1893,1,4.6,0.4,14,47.2
1893,2,7,1.6,7,112
1893,3,12.6,3.4,5,19.8
1893,4,15.1,3.8,0,19.5
1893,5,16.9,7.4,0,73.7
1893,6,19.3,10,0,34
1893,7,19.9,11.5,0,77.3
1893,8,21.9,12.7,0,40.7
1893,9,16.7,8.8,0,31.2
1893,10,13.8,6.5,1,45.9
1893,11,8.1,2,7,49.1
1893,12,7.8,1.8,7,104.5
1894,1,5.6,0.6,11,77.1
1894,2,8.4,1.5,9,132.1
1894,3,10.9,1.8,5,48.4
1894,4,13.1,5.1,0,70
1894,5,12.2,4.8,1,49.1
1894,6,17.4,9.4,0,60.6
1894,7,20.3,11.2,0,83
1894,8,17.3,10.6,0,54.5
1894,9,14.4,8.5,0,26.1
1894,10,11.7,6,2,128.2
1894,11,10.5,5.7,0,37.6
1894,12,7.8,2.8,5,64.8
1895,1,2,-2.5,23,115.5
1895,2,1.6,-4.2,24,5.8
1895,3,8.6,2.1,7,56.6
1895,4,12.2,4.2,5,49.6
1895,5,16.9,7,0,28.8
1895,6,19.2,9.6,0,57.1
1895,7,19,11.4,0,112.4
1895,8,20,12,0,55.5
1895,9,21,10.7,0,19.9
1895,10,10.8,3.9,6,87.3
1895,11,10,4.7,1,114.5
1895,12,5.8,1.5,10,95.1
1896,1,7.4,3,5,29.7
1896,2,7.5,2,8,28.8
1896,3,9.8,3.1,1,89.5
1896,4,12.6,5.3,0,46
1896,5,16.4,6.6,0,10.4
1896,6,20.4,11.2,0,79.1
1896,7,20.6,11.7,0,23.6
1896,8,17.3,10.6,0,43.6
1896,9,15.8,9.6,0,126.8
1896,10,9.8,4,0,76.9
1896,11,7.4,2.5,4,28.8
1896,12,6.2,1.9,9,98.6
1897,1,3.2,-0.8,17,65.8
1897,2,7.5,3.1,9,96.5
1897,3,9.5,3.3,2,92.7
1897,4,10,2.9,5,51.4
1897,5,14.3,5.1,0,26.3
1897,6,19.1,10.2,0,90.9
1897,7,20.3,11.3,0,14
1897,8,20.7,11.5,0,55.7
1897,9,15.6,8.5,0,60.1
1897,10,13,6.5,0,26.1
1897,11,9.9,5.2,0,82.5
1897,12,7.9,2.3,4,81.8
1898,1,9.3,4.5,1,28.4
1898,2,7.5,1.8,8,58.5
1898,3,7.4,1,10,40.8
1898,4,11.9,4.2,1,82.9
1898,5,13,5.9,0,66.9
1898,6,17.6,9.2,0,32.3
1898,7,19.4,10.9,0,41.7
1898,8,20.5,11.9,0,86.2
1898,9,19.7,10.9,0,13.8
1898,10,14.2,8.6,0,84
1898,11,9.6,4.8,2,71.9
1898,12,9.6,4.5,3,81.7
1899,1,7.3,2.2,7,112.3
1899,2,8.1,1.8,11,51.2
1899,3,9.3,1.6,11,31.9
1899,4,11,4.4,1,60.1
1899,5,13.4,5.1,0,63.7
1899,6,20.1,10.2,0,63.8
1899,7,21.2,13,0,51.4
1899,8,22,12.4,0,23
1899,9,16.6,9.6,0,97.7
1899,10,13.5,5.9,1,73.3
1899,11,11.2,6.2,2,50.7
1899,12,4.5,-0.1,15,73
1900,1,6.2,2.1,1,101
1900,2,5,-0.2,14,113
1900,3,6,0.7,10,20.4
1900,4,12.7,3.9,4,36
1900,5,13.6,6,0,43.7
1900,6,18.9,10.5,0,78.2
1900,7,22.5,13.3,0,71.5
1900,8,18.7,11.3,0,109.5
1900,9,17.7,9.6,0,12.9
1900,10,13,6.5,0,66.6
1900,11,9.1,5.1,0,67.7
1900,12,9.4,4.8,0,116.7
1901,1,5.5,0.7,12,64.6
1901,2,4.7,0.4,14,29.2
1901,3,7,1,11,60.4
1901,4,13.1,3.9,1,43.8
1901,5,15.9,6.3,0,23.9
1901,6,18.3,9.2,0,27.5
1901,7,22.6,13.5,0,82.1
1901,8,20.6,11.9,0,30.7
1901,9,17.3,10,0,22
1901,10,12.7,5.9,1,50.2
1901,11,8.2,2.9,10,112
1901,12,5.5,1.2,11,164.2
1902,1,7.3,2.5,11,37.6
1902,2,3.7,-0.8,17,44.5
1902,3,10.5,3.6,1,38.4
1902,4,11.2,3.1,1,74.4
1902,5,11.9,5.1,0,75
1902,6,17.8,9.3,0,43.4
1902,7,18.4,10.4,0,51.4
1902,8,17.2,9.9,0,120.4
1902,9,16.5,9.2,0,50.9
1902,10,12.1,6.9,0,81.4
1902,11,9.1,4.6,2,63.6
1902,12,7,2.7,8,68.2
1903,1,6.3,1.8,8,90.3
1903,2,9.6,4.1,1,66.4
1903,3,10.4,3.4,0,97.2
1903,4,10,2.7,7,48.4
1903,5,14,6.5,0,97.4
1903,6,17,8.7,0,30.1
1903,7,19.2,11.5,0,58.9
1903,8,17.6,10.7,0,107.8
1903,9,16.6,9.1,0,100.5
1903,10,12.8,7.3,0,182.6
1903,11,9.3,4.1,2,42.8
1903,12,5.2,1.2,8,44.7
1904,1,6.6,1.7,7,80.6
1904,2,4.9,0.8,7,131.7
1904,3,7.3,1.3,7,52.1
1904,4,12.1,5.2,0,60.4
1904,5,14.5,6.8,0,63.1
1904,6,17.3,9.1,0,17.3
1904,7,21.3,12.3,0,50.5
1904,8,19.2,11.1,0,96.1
1904,9,16.9,8.7,0,28.1
1904,10,13.4,6.8,0,17.3
1904,11,8.7,3.7,6,57.2
1904,12,6.5,1.6,11,46.8
1905,1,6.5,1.6,13,35.9
1905,2,7.5,2.5,4,32.4
1905,3,10.4,3.5,0,72
1905,4,10.1,3.8,3,59.5
1905,5,14.9,6.5,0,10.5
1905,6,19,10,0,77.5
1905,7,21.8,13.3,0,40.6
1905,8,18.5,11,0,103
1905,9,15.7,9.3,0,28.9
1905,10,10.4,4.5,0,44.7
1905,11,7.5,2.9,3,99.1
1905,12,7.5,3,3,14.9
1906,1,7.2,2.9,4,97.8
1906,2,5.6,0.4,14,76.4
1906,3,8.6,1.5,13,59.5
1906,4,12,2.2,4,16
1906,5,13.9,6.9,0,48.9
1906,6,18.6,9.9,0,44.9
1906,7,20.4,11.6,0,36.9
1906,8,21.3,12.8,0,44.1
1906,9,18.7,10,0,17.9
1906,10,13.8,7.8,0,141.4
1906,11,10.2,5,1,86.4
1906,12,5.9,0.8,12,77.4
1907,1,6.4,1.3,10,35.2
1907,2,6,0.4,13,57.6
1907,3,11.1,2.8,5,65.5
1907,4,11,3.8,2,56.7
1907,5,13.7,6.5,0,97.3
1907,6,15.9,9,0,92.2
1907,7,17.1,10,0,53.2
1907,8,18.2,10.6,0,55.9
1907,9,18.3,9.3,0,11.6
1907,10,13,6.7,0,136.8
1907,11,9.5,4.5,3,84.4
1907,12,6.6,2.2,7,57
1908,1,5.8,0.5,16,46.3
1908,2,7.9,2.8,3,58.7
1908,3,6.9,1,13,80.2
1908,4,9,2.3,5,60.2
1908,5,16.8,8.3,0,59.4
1908,6,18.2,9.4,0,39.6
1908,7,19.5,11.6,0,64.8
1908,8,18.1,10.6,0,78.4
1908,9,16.7,9.4,0,39.4
1908,10,15.3,9,0,28.9
1908,11,10.2,4.6,3,38.1
1908,12,6.1,1.5,7,51.6
1909,1,6.2,1.2,9,51.8
1909,2,5.9,0.5,17,16.7
1909,3,6.4,0.7,16,108
1909,4,13.9,4.1,2,43.2
1909,5,15.6,5.8,0,50.4
1909,6,15.1,8.2,0,79.4
1909,7,18.1,11.2,0,84.4
1909,8,20.3,11.5,0,55.1
1909,9,14.7,9,0,57.3
1909,10,13.7,6.9,1,72.6
1909,11,8.1,3.2,4,17.7
1909,12,6.1,1.6,8,167.5
1910,1,6,1,11,75
1910,2,7.5,2.1,3,89.5
1910,3,10,2.9,2,22.7
1910,4,10.8,3.2,2,61.4
1910,5,14.8,6.9,0,60.8
1910,6,18.8,10.4,0,66.1
1910,7,17.7,10.3,0,45.9
1910,8,18.7,11.6,0,87.9
1910,9,15.6,9.5,0,7.6
1910,10,13.3,8.2,0,58.8
1910,11,5.9,0.9,8,102.2
1910,12,8.2,4,2,109.5
1911,1,6.2,1.7,7,31.8
1911,2,7.6,2.5,2,74.3
1911,3,7,2.2,1,30.9
1911,4,10.7,4.1,4,35.3
1911,5,17.3,8.5,0,25.1
1911,6,18.8,9.6,0,53.5
1911,7,23.4,12.4,0,3.8
1911,8,23,13.4,0,43.8
1911,9,18.6,9.4,0,54.1
1911,10,11.8,6.5,1,55.7
1911,11,8.5,3.7,1,101.3
1911,12,8.1,3.8,0,137.2
1912,1,5.4,1.2,9,128.3
1912,2,7.3,2.5,6,40.7
1912,3,9.7,4.2,1,87.4
1912,4,12.9,4.3,1,12.9
1912,5,15.3,7.8,0,93
1912,6,17.5,10,0,98.5
1912,7,18.8,11.9,0,131
1912,8,16,9.6,0,144.5
1912,9,14.3,8,0,30
1912,10,12.5,5.2,0,72.3
1912,11,8.8,4.5,3,58
1912,12,9.3,4.1,1,100.5
1913,1,6,1.5,9,95.5
1913,2,8.3,2.2,4,30.4
1913,3,8.8,2.6,1,110.8
1913,4,11.3,4,2,77.7
1913,5,15.5,7.3,0,55.3
1913,6,18.2,9.8,0,20.8
1913,7,17.7,10.8,0,39.7
1913,8,19.1,11.1,0,31.2
1913,9,17.4,10.5,0,76.1
1913,10,13.6,8.2,0,105.2
1913,11,11.1,5.7,1,82
1913,12,7.3,3.4,5,49.3
1914,1,6.1,2,10,41
1914,2,9.5,4.2,0,50.2
1914,3,9.1,3.1,1,66.3
1914,4,14.8,5.2,0,33.7
1914,5,14.6,6.6,1,37.6
1914,6,19.1,10,0,55.5
1914,7,20.2,12.3,0,63.5
1914,8,20.7,12,0,32.5
1914,9,17.6,9.1,0,40.7
1914,10,13.1,7.9,0,57.5
1914,11,9.2,4.4,0,101.4
1914,12,6.6,2.4,2,154.6
1915,1,6.2,2.1,1,90.9
1915,2,6.6,1.3,8,106.4
1915,3,8.7,2,10,27
1915,4,11.5,4,0,31.2
1915,5,15,5.8,0,37.7
1915,6,19,9.5,0,39.6
1915,7,18.3,11.2,0,108.2
1915,8,19.3,11.6,0,56.5
1915,9,17.5,9.5,0,16.7
1915,10,11.8,6.5,0,41.4
1915,11,6.1,1.5,6,81.4
1915,12,7.2,2.8,1,198
1916,1,10.4,5,0,44.5
1916,2,5.9,1,5,136.3
1916,3,5,0.4,14,126.3
1916,4,12.4,4.4,0,35.4
1916,5,15.5,7.4,0,67.3
1916,6,15.1,8,0,56
1916,7,18.9,11.6,0,30.6
1916,8,20.8,12.6,0,37
1916,9,16.2,9.4,0,38.2
1916,10,13.6,7.5,0,90.7
1916,11,9.5,4.5,1,100.1
1916,12,4.9,0.5,9,78.3
1917,1,3.1,0.3,16,54.2
1917,2,4,-0.8,15,16.2
1917,3,5.9,-0.1,15,64
1917,4,8.7,1.4,11,45.9
1917,5,17.2,7.7,1,43
1917,6,19.4,10.3,0,65.1
1917,7,20.4,11.7,0,26.2
1917,8,19,12.2,0,128.6
1917,9,18.1,10.8,0,21.6
1917,10,11.2,4.4,0,101.9
1917,11,10.9,6.2,1,54.6
1917,12,5.2,0.7,10,38.3
1918,1,6.4,1.3,10,66.8
1918,2,8.9,3.7,4,73.1
1918,3,9.1,2.4,6,36.7
1918,4,10,3.4,1,34.8
1918,5,17.9,8.3,0,69
1918,6,17.3,9,0,14.8
1918,7,---,---,---,103.7
1918,8,---,---,---,44.7
1918,9,---,---,---,178.5
1918,10,---,---,---,50.2
1918,11,---,---,---,39.6
1918,12,---,---,---,116.4
1919,1,---,---,---,112.3
1919,2,---,---,---,56.6
1919,3,---,---,---,114.8
1919,4,---,---,---,43.6
1919,5,---,---,---,41.1
1919,6,---,---,---,13.2
1919,7,---,---,---,116.4
1919,8,---,---,---,76.4
1919,9,---,---,---,63.1
1919,10,---,---,---,78.1
1919,11,---,---,---,57.5
1919,12,---,---,---,136.6
1920,1,7.9,2.2,4,104.9
1920,2,8.8,3,1,81
1920,3,10.7,3.7,3,56.8
1920,4,10.4,4.8,0,122.6
1920,5,15.7,7.5,0,79.1
1920,6,18.4,9.6,0,88.1
1920,7,17.5,10.8,0,110.8
1920,8,17.1,10.3,0,22.6
1920,9,16.6,9.4,0,28.6
1920,10,13.4,7.5,0,50.5
1920,11,9.5,4.9,1,29.2
1920,12,6.6,2.5,5,82.7
1921,1,9.5,4.5,2,85.3
1921,2,7.1,2.7,2,8.6
1921,3,10.6,4.1,1,48.6
1921,4,12.4,4.2,2,23.4
1921,5,16.1,6.7,0,31.8
1921,6,19.3,9.6,0,8.4
1921,7,23.8,12.7,0,11.5
1921,8,19.2,11.7,0,121.5
1921,9,18.5,10.3,0,28.4
1921,10,16.7,9.6,0,56.3
1921,11,7.2,2.4,6,48.8
1921,12,9.2,4.1,2,105.7
1922,1,5.3,0.9,9,111.5
1922,2,6.8,0.9,11,81.1
1922,3,6.7,1.6,4,50.9
1922,4,8.9,1.7,3,96.6
1922,5,17.9,8.3,0,20.7
1922,6,18.2,9.1,0,32.1
1922,7,17.2,9.9,0,83.3
1922,8,16.8,10.2,0,197.7
1922,9,15.3,8.9,0,72.6
1922,10,11.4,5.5,0,26
1922,11,9.1,3.7,1,37.3
1922,12,7.8,3.5,1,94.4
1923,1,8.5,4.1,0,36.2
1923,2,7,2.3,4,153
1923,3,9.5,3.3,1,46.8
1923,4,10.5,3.8,0,59.2
1923,5,12.5,5.4,0,80.8
1923,6,15.3,8.9,0,19.6
1923,7,---,---,---,119.6
1923,8,---,---,---,73.3
1923,9,---,---,---,59.1
1923,10,---,---,---,51.8
1923,11,---,---,---,115.4
1923,12,---,---,---,69.1
1924,1,6.6,2.3,8,54.2
1924,2,5.6,1.2,11,31.3
1924,3,7.5,-0.3,18,21.8
1924,4,10.8,2.9,3,49.1
1924,5,15.2,7.6,0,93.8
1924,6,17.9,10.1,0,40.4
1924,7,19.2,11.5,0,65.6
1924,8,17.5,10.7,0,63.2
1924,9,16.2,10.3,0,89.3
1924,10,12.9,7.2,0,102.3
1924,11,9.4,5.1,0,55.6
1924,12,9,5.1,0,73.5
1925,1,7.5,2.7,1,84.8
1925,2,7.6,1.9,3,98.2
1925,3,7.6,2.4,7,24.3
1925,4,11.1,3.6,1,75
1925,5,15.8,7.7,0,94.6
1925,6,19.3,10.2,0,2.2
1925,7,21.8,12.6,0,23.2
1925,8,19.5,12.1,0,79.4
1925,9,14.9,8.2,0,60.8
1925,10,13.7,7.2,0,91.2
1925,11,6.5,1.6,12,62
1925,12,5.3,0.8,14,78.2
1926,1,6.8,2.2,9,83.8
1926,2,9,4,4,55.6
1926,3,9.1,3.2,3,35.2
1926,4,13.2,5.7,0,45.1
1926,5,13.5,6,0,74.1
1926,6,17.6,9.6,0,77.5
1926,7,20.9,13,0,62.1
1926,8,20.6,11.9,0,70.2
1926,9,17.8,10.4,0,34.1
1926,10,11.2,5,3,78
1926,11,8.6,3.3,1,95
1926,12,6.7,2.4,4,30.7
1927,1,7.2,2.7,4,47.9
1927,2,7.4,1.8,8,38.2
1927,3,10.3,3.9,0,74.6
1927,4,11.7,4.5,0,56.7
1927,5,14.4,6.3,0,33.8
1927,6,15.8,8.3,0,105.4
1927,7,19,11.9,0,67.5
1927,8,19.4,12.1,0,127.5
1927,9,15.5,9.6,0,99.8
1927,10,13.4,7.2,0,64.5
1927,11,8.5,3.7,2,84.2
1927,12,3,0,11,66.7
1928,1,8,2.5,1,167.7
1928,2,8.9,2.8,1,104.9
1928,3,8.7,2.9,4,72.2
1928,4,11.8,4,2,31.9
1928,5,13.8,6.3,0,31.9
1928,6,16.6,8.6,0,77.2
1928,7,20.3,12.2,0,17.7
1928,8,19.5,11.4,0,64.3
1928,9,17,8.8,0,6
1928,10,12.9,7.1,0,122
1928,11,10.4,5.3,1,118.1
1928,12,6,1.4,9,57.2
1929,1,3.8,0.3,12,40.5
1929,2,2.6,-2.5,17,17.1
1929,3,12.1,2.4,6,3.3
1929,4,10.1,2.9,3,25.9
1929,5,15.9,6.7,0,52.1
1929,6,17.3,9.3,0,38
1929,7,20.9,11.9,0,25.3
1929,8,19.1,11.2,0,47.7
1929,9,20.1,10.9,0,37.3
1929,10,12.7,6.4,0,85.9
1929,11,9.4,3.9,4,153.2
1929,12,7.8,3.1,2,186.2
1930,1,8.1,2.4,6,120.5
1930,2,4.4,0.6,12,22.2
1930,3,8.1,2.1,9,76.2
1930,4,11,4.8,0,64.5
1930,5,14.1,6.6,0,38.3
1930,6,19.7,10.5,0,27.1
1930,7,18.6,11.4,0,149.4
1930,8,19.9,11.9,0,62.3
1930,9,16.7,10.5,0,127.9
1930,10,13.4,7.6,0,79.1
1930,11,9.3,3.5,4,83.4
1930,12,6.5,1.8,7,68.3
1931,1,6.1,1.2,7,61
1931,2,5.8,1.6,5,83.4
1931,3,7.3,-0.3,17,5.4
1931,4,10.8,4.7,1,83.8
1931,5,15.3,7.2,0,78.3
1931,6,17.8,10.5,0,111.8
1931,7,19.2,12.3,0,104.1
1931,8,17.8,10.5,0,145.2
1931,9,15,9.1,0,94.3
1931,10,12.8,5.5,5,20
1931,11,10.1,5.1,0,104.7
1931,12,8.1,3.2,9,35.9
1932,1,9.2,3.3,8,68.6
1932,2,6.3,1.6,8,10.1
1932,3,8,2,8,41.1
1932,4,9.8,3.2,1,82.2
1932,5,13,6.8,1,170.7
1932,6,18,9.4,0,17.2
1932,7,19.6,12.7,0,122.1
1932,8,21,13.5,0,61
1932,9,17,9.4,0,46.3
1932,10,11.8,5.9,0,101.1
1932,11,8.8,4.5,0,59
1932,12,7.8,3.8,3,30
1933,1,5.2,0.2,13,53.1
1933,2,6.7,1.7,8,113.2
1933,3,11.5,3,2,64.2
1933,4,13,5.5,1,33.8
1933,5,15.7,8.3,0,48
1933,6,20.4,10.8,0,26.7
1933,7,23,13.6,0,53
1933,8,22.7,13.4,0,11.5
1933,9,19.7,11.1,0,41.1
1933,10,12.9,7.7,0,128
1933,11,8.3,4.5,0,46.4
1933,12,4.6,0.7,9,14.8
1934,1,7.5,1.8,7,68.7
1934,2,7.7,2,6,7.5
1934,3,7.9,1.8,2,77
1934,4,11.3,4.1,2,65.3
1934,5,16,7.4,0,33.1
1934,6,19.3,10.2,0,23.3
1934,7,23.8,13.4,0,39.6
1934,8,19.6,11.2,0,27.5
1934,9,19.1,10.2,0,45.1
1934,10,13.1,7.7,0,66.1
1934,11,8.6,4.7,2,50
1934,12,9.5,6,0,123.6
1935,1,6.9,3,3,38
1935,2,8,3.2,2,101.5
1935,3,9.6,3.6,4,39
1935,4,11.5,4.2,0,63.3
1935,5,14,5.3,0,9.7
1935,6,19.7,10.8,0,77.2
1935,7,22.2,12.7,0,17
1935,8,22.4,12.4,0,50.7
1935,9,17.4,9.5,0,104.2
1935,10,12.5,6,1,128.6
1935,11,9.1,4.2,0,147.6
1935,12,5.1,0.9,11,94.5
1936,1,5.5,1.3,10,81.9
1936,2,4.2,-0.8,17,69.5
1936,3,9.4,3.5,2,52.7
1936,4,9.7,3,2,39.9
1936,5,14.6,6.9,0,34.5
1936,6,18.8,10.2,0,87.2
1936,7,18.9,12,0,93
1936,8,20.3,12.5,0,32.6
1936,9,17.5,11.7,0,64.5
1936,10,12.9,6.9,0,74.3
1936,11,8.5,3.1,5,76.8
1936,12,8.1,2.7,6,67.4
1937,1,7.2,2.2,8,139.3
1937,2,7.3,2.7,1,131.9
1937,3,5.5,0.2,13,84.9
1937,4,11.7,5.2,1,56.5
1937,5,16,7.8,0,77.7
1937,6,17.9,10.4,0,27.7
1937,7,19.7,12.5,0,75.3
1937,8,21.3,12.5,0,14.9
1937,9,17.5,9.5,0,50.1
1937,10,13.5,7.9,0,85.5
1937,11,8,3.2,4,59.9
1937,12,5.1,1.2,10,95.1
1938,1,8.3,3.4,0,93.9
1938,2,7.2,2.7,0,27.1
1938,3,13.8,6.1,0,7.2
1938,4,11.6,4.3,0,4.8
1938,5,14.9,6.6,0,67.1
1938,6,18.5,10.6,0,50.6
1938,7,18.7,11.3,0,96.1
1938,8,19.7,12.1,0,78.4
1938,9,17.1,10.4,0,58.7
1938,10,13.4,7.4,0,119.8
1938,11,11.7,6.4,0,101.8
1938,12,6.3,1.7,7,84.1
1939,1,6,1.9,7,148.9
1939,2,8.2,2.6,3,45
1939,3,8.3,3.1,0,55.4
1939,4,12.2,4.7,1,48.4
1939,5,15.6,7.2,0,49.2
1939,6,18.4,9.2,0,60.3
1939,7,19.1,12,0,129.3
1939,8,19.9,12.6,0,61.4
1939,9,17.2,11,0,49.3
1939,10,11,5.3,0,94.8
1939,11,10.7,5.8,0,136.6
1939,12,5.8,2.6,2,57.7
1940,1,1.8,-3.5,27,83.3
1940,2,3.5,-0.8,15,63.1
1940,3,9.5,2.6,7,53.4
1940,4,11.8,4.4,1,69.1
1940,5,17.4,7.9,0,28.8
1940,6,22.4,11.6,0,15.1
1940,7,19.5,11.4,0,69.5
1940,8,19.7,11.7,0,7.7
1940,9,16.8,9,0,34.2
1940,10,12.2,6.9,1,106.9
1940,11,9.2,4.6,1,173
1940,12,6.5,2.3,1,61.3
1941,1,1.7,-1.4,22,125.5
1941,2,5.4,0.5,13,87.7
1941,3,7.9,1.1,5,125.1
1941,4,8.9,3.2,1,46.4
1941,5,13,5.2,1,77.6
1941,6,19.8,10.3,0,6
1941,7,22.4,13.5,0,106.2
1941,8,18.6,11.3,0,69.6
1941,9,18.2,11.4,0,8.5
1941,10,13,7.9,0,108.8
1941,11,8.5,3.8,1,92.5
1941,12,8.6,4.1,3,28.2
1942,1,3.2,-0.8,18,84
1942,2,2.5,-2.4,25,31.1
1942,3,7.4,1.5,7,57.1
1942,4,13.1,4.4,0,36
1942,5,15.2,6.8,0,114.3
1942,6,19.3,10.2,0,29.4
1942,7,19.7,11.5,0,52.3
1942,8,19.9,12.9,0,84.8
1942,9,17.2,10.2,0,29.4
1942,10,13.7,7.8,0,67.6
1942,11,8.5,4.1,0,37
1942,12,8.9,4.3,4,58.1
1943,1,6.4,2.2,7,117.6
1943,2,8.9,3.4,1,41.1
1943,3,10.6,3.4,2,33.4
1943,4,14.5,6.8,0,48
1943,5,16.8,7.2,0,69.6
1943,6,18.5,10.7,0,39.3
1943,7,21,11.6,0,32.6
1943,8,19.5,12,0,61.9
1943,9,16.6,10,0,83.2
1943,10,14,7.7,0,48.3
1943,11,8.6,4.3,0,59.8
1943,12,6.5,2.3,6,26.5
1944,1,8.8,3.4,4,96.2
1944,2,5.9,1.1,8,50.6
1944,3,8.7,2.5,7,11
1944,4,13.8,6.2,1,58.5
1944,5,15.3,7,0,60
1944,6,16.8,9.4,0,56.3
1944,7,19.5,12.8,0,58.2
1944,8,20.8,12.5,0,64.1
1944,9,15.9,9.1,0,111.7
1944,10,11.7,6.8,0,77.3
1944,11,8.8,3.7,0,142.1
1944,12,6.5,1.8,6,61.9
1945,1,3.4,-1,17,75.2
1945,2,10.1,4.2,1,69.1
1945,3,12.2,5.1,0,13.7
1945,4,14.3,6,1,44.5
1945,5,16.1,8,0,78.8
1945,6,18.5,10.9,0,80.4
1945,7,20.9,13.2,0,45.3
1945,8,20.1,11.9,0,66.8
1945,9,17.5,11,0,20.9
1945,10,15.2,8.9,0,136.8
1945,11,9.3,5.7,0,9.9
1945,12,7.6,3,4,42.5
1946,1,5.7,0.6,16,108.1
1946,2,8.2,3.5,6,111.8
1946,3,8.8,2,9,32.9
1946,4,14.1,6.3,0,29.2
1946,5,13.9,6,0,60.7
1946,6,17.1,9.5,0,85.3
1946,7,20.3,12.8,0,63.9
